,output,task
0,what's the,hello and welcome to the cambridge
1,what's the the,hello and welcome to the cambridge
2,what's to the,hello and welcome to the cambridge
3,what's of the,hello and welcome to the cambridge
4,what's be,hello and welcome to the cambridge
5,what's the to the,hello and welcome to the cambridge
6,what's it,hello and welcome to the cambridge
7,what's ok,hello and welcome to the cambridge
8,what the,hello and welcome to the cambridge
9,what's the the the,hello and welcome to the cambridge
10,moderately priced swedish food,moderately priced swedish food
11,a moderately priced swedish food,moderately priced swedish food
12,moderately priced swiss food,moderately priced swedish food
13,uh moderately priced swedish food,moderately priced swedish food
14,moderately priced food,moderately priced swedish food
15,moderately priced swedish swedish food,moderately priced swedish food
16,moderately priced swedish code,moderately priced swedish food
17,i moderately priced swedish food,moderately priced swedish food
18,is moderately priced swedish food,moderately priced swedish food
19,moderately priced is food,moderately priced swedish food
20,how about asian oriental,how about asian oriental
21,how about a asian oriental,how about asian oriental
22,how about the oriental,how about asian oriental
23,how about asian asian oriental,how about asian oriental
24,about asian oriental,how about asian oriental
25,how want asian oriental,how about asian oriental
26,how i about asian oriental,how about asian oriental
27,how about oriental,how about asian oriental
28,how about a the oriental,how about asian oriental
29,how about a asian asian oriental,how about asian oriental
30,is there anything else,is there anything else
31,is there there anything else,is there anything else
32,is it anything else,is there anything else
33,is there anything anything else,is there anything else
34,is there a anything else,is there anything else
35,is there else,is there anything else
36,is there a else,is there anything else
37,is there anything free else,is there anything else
38,is anything else,is there anything else
39,it there anything else,is there anything else
40,can i have the addressess and phone number,could i have the addresses and phone number
41,could i have the addressess and phone number,could i have the addresses and phone number
42,i have the addressess and phone number,could i have the addresses and phone number
43,can i have the addressess and phone number,could i have the addresses and phone number
44,can i have the addressess addressess and phone number,could i have the addresses and phone number
45,can i have the and phone number,could i have the addresses and phone number
46,can i the addressess and phone number,could i have the addresses and phone number
47,can i have me addressess and phone number,could i have the addresses and phone number
48,can i have have the addressess and phone number,could i have the addresses and phone number
49,can i have the addressess phone number,could i have the addresses and phone number
50,phone number,phone number
51,uhm number,phone number
52,um number,phone number
53,uh number,phone number
54,number,phone number
55,phone the number,phone number
56,phone phone number,phone number
57,i'm number,phone number
58,a number,phone number
59,phone number uh,phone number
60,thank you goodbye,thank you good bye
61,thank you goodbye bye,thank you good bye
62,thank you good,thank you good bye
63,thank you good bye,thank you good bye
64,thank you,thank you good bye
65,thank you bye,thank you good bye
66,thank you goodbye by,thank you good bye
67,thank thank you goodbye,thank you good bye
68,uh you goodbye,thank you good bye
69,thank u goodbye,thank you good bye
70,and that well,hello and welcome
71,and that will,hello and welcome
72,and that well,hello and welcome
73,i that well,hello and welcome
74,can that well,hello and welcome
75,and that will,hello and welcome
76,i that will,hello and welcome
77,i'm that well,hello and welcome
78,can that will,hello and welcome
79,and i well,hello and welcome
80,is there,center
81,don't there,center
82,is care,center
83,don't care,center
84,there,center
85,and there,center
86,is okay,center
87,care,center
88,and care,center
89,don't okay,center
90,catalan,catalan
91,,catalan
92,catalan restaurant,catalan
93,catalan tour,catalan
94,catalan a,catalan
95,catalan ah,catalan
96,castle,catalan
97,restaurant,catalan
98,,catalan
99,catalan,catalan
100,town,italian
101,um,italian
102,italian,italian
103,the town,italian
104,the um,italian
105,phone,italian
106,the italian,italian
107,of town,italian
108,of um,italian
109,i'm,italian
110,moderate,moderate
111,moderate moderate,moderate
112,uh,moderate
113,a,moderate
114,the,moderate
115,i,moderate
116,uh moderate,moderate
117,moderate uh,moderate
118,a moderate,moderate
119,the moderate,moderate
120,can i get the phone number and,could i get the phone number and
121,could i get the phone number and,could i get the phone number and
122,can i get the phone number number and,could i get the phone number and
