,output,task
0,is upset that he cant update his Facebook by texting it... might cry as a result  School today also. Blah!,"He is upset that he can't update his Facebook by texting it, and might cry as a result. He also has school today."
1,I dived many times for the ball. Managed to save 50%  The rest go out of bounds,"I dove for the ball many times, and managed to save 50%, but the rest went out of bounds."
2,my whole body feels itchy and like its on fire ,My whole body feels itchy and like it's on fire.
3,"no, its not behaving at all. im mad. why am i here? because I can't see you all over there. ","No, it's not behaving at all, so I'm mad. Why am I here? I can't see you all the way over there."
4,"hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?","Hey, long time no see! Yes, it is raining a bit, but only a bit. I'm fine, thanks. How are you?"
5,nope they didnt have it ,"No, they didn't have it."
6,"It it counts, idk why I did either. you never talk to me anymore ","If it counts, I don't know why I did either. You never talk to me anymore."
7,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,Hollis' death scene will severely hurt to watch on film. Why isn't the director's cut out now?
8,ahh ive always wanted to see rent  love the soundtrack!!,I've always wanted to see Rent! I love the soundtrack!
9,I baked u a cake but I ated it ,"I baked you a cake, but I ate it. "
10,im sad now  Miss.Lilly,"I'm sad now, Miss Lilly. "
11,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,"Oh, that's Leslie! Okay, I won't do it again, so Leslie won't get mad. "
12,some1 hacked my account on aim  now i hav to make a new one,"Someone hacked my account on AIM, and now I have to make a new one."
13,I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,"I want to go to promote 'Gear and Groove', but unfortunately I have no ride there. I may be going to the one in Anaheim in May, though."
14,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,"I thought sleeping in was going to be an option tomorrow, but I am now realizing that it isn't since I have evaluations in the morning and work in the afternoon. "
15,awe i love you too!!!! 1 am here  i miss you,"I love you, too! It is 1 AM here and I miss you. "
16,ill tell ya the story later  not a good day and ill be workin for like three more hours...,"I'll tell you the story later, but it's not a good day and I'll be working for three more hours. "
17,really don't feel like getting up today... but got to study to for tomorrows practical exam... ,"I really don't feel like getting up today, but I've got to study for tomorrow's practical exam. "
18,Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,I so wish I was there to see you finally being comfortable! I'm sad that I missed it.
