,output,task
0,how can i get from garching forschungszentrum green eyes arya still race rc. ,how can i get from garching forschungszentrum to kurt-eisner-straße?
1,i want to travel from garching to odeonsplatz. ,i want to travel from garching to odeonsplatz?
2,show me the next bus. ,show me the next bus from garching!
3,can you find a bus from quiddestraße to lehel. ,can you find a bus from quiddestraße to lehel?
4,when is the next ufc. ,when is the next u6?
5,how can i get from garching to garching. ,how can i get from garching to garching?
6,what's the shortest connection between quiddestraße and odeonsplatz. ,what's the shortest connection between quiddestraße and odeonsplatz?
7,is there a bus from garching to lose that shit down sign. ,is there a bus from garching to moosach at around 5?
8,i need a connection from her and her two tries flats. ,i need a connection from harras to karl-preis-platz at 8 am.
9,i need to be entertained. ,i need to be in garching at 9
10,when does the next train leave from garching forschungszentrum. ,when does the next train leave from garching forschungszentrum
11,how can i get from garching to meal prep. ,how can i get from garching to milbertshofen?
12,can i take a bus from quiddestraße to hauptbahnhof. ,can i take a bus from quiddestraße to hauptbahnhof?
13,could you give me the fastest connection between february and i'll get it. ,could you give me the fastest connection between brudermühlstraße and alte heide?
14,when does the next bus leaves from hauptbahnhof. ,when does the next bus leaves from hauptbahnhof?
15,how to get from bonner platz to. ,how to get from bonnerplatz to freimann
16,how can i get from neuperlach sued from a car usb and fast as possible. ,how can i get from neuperlach zentrum to karlsplatz as fast as possible?
17,can you find a connection from olympus and from school at two PM. ,can you find a connection from olympiazentrum to lehel at 2 pm?
19,how to get from garching to prove it. ,how to get from garching to perlach?
20,show me the next bus from matthew. ,show me the next bus from michaelibad.
21,how can i get from garching to lunch here i fancy possible. ,how can i get from garching to münchner freiheit as fast as possible?
22,when does the next subway departs from odeonsplatz. ,when does the next subway departes from odeonsplatz?
24,when is the next train from garching. ,when is the next train from garching
25,how can i get to melbourne from directory. ,how can i get to milbertshofen from garching?
26,when does the next train leaves. ,when does the next train leaves?
27,how to get promo to twenty one. ,how to get from untere strassäcker 21 to frötmaning
28,how can i get to goldsmith from quince tree. ,how can i get to boltzmannstraße from quiddestraße?
29,when is the train leaving in garching. ,when is the train leaving in garching?
30,delete the ad turn on that one pm can you search a connection from garching forschungszentrum. ,"in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?"
31,how can i get from garching forschungszentrum to odeonsplatz. ,"how can i get from garching, forschungszentrum to odeonsplatz?"
32,when does the next bus leaves at garching forschungszentrum. ,when does the next bus leaves at garching forschungszentrum?
33,how do i get from olympia conference room fan on. ,how do i get from olympia einkaufszentrum to hauptbahnhof?
34,is there a train from neuperlach syndrome to say hi three pm. ,is there a train from neuperlach zentrum to garching at 3 pm?
35,how can i get more size to thirty four percent. ,how can i get from mossach to garching forschungszentrum?
36,when is the next subway leaving from garching. ,when is the next subway leaving from garching?
37,what is the next connection from garching forschungszentrum to odeonsplatz. ,what is the next connection from garching forschungszentrum to odeonsplatz?
38,when does the next bus leaves at roman. ,when does the next bus leaves at romanplatz?
39,when does the next bus leave in garching. ,when does the next bus leave in garching?
40,when does the next bus leaves at garching. ,when does the next bus leaves at garching?
41,how can i get from garching to send later. ,how can i get from garching to sendlinger tor?
42,when is the next train in lawrence ryan hall. ,when is the next train in nordfriedhof
43,is there a tram from charleston sc to level. ,is there a tram from karlsplatz to lehel?
44,when is the next bus leaving from garching. ,when is the next bus leaving from garching?
45,when the next train in garching forschungszentrum is leaving. ,when the next train in garching forschungszentrum is leaving?
46,when is the next subway leaving at garching forschungszentrum. ,when is adrians next subway leaving at garching forschungszentrum?
47,what's the cheapest way from neuperlach too low. ,what's the cheapest way from neuperlach süd to lehel?
48,connection from hauptbahnhof to odeonsplatz. ,connection from hauptbahnhof to odeonsplatz?
49,how do i get to untere of thrones. ,how do i get to untere straussäcker?
50,when is the next train in muncher freiheit. ,when is the next train in münchner freiheit?
51,when is the next train in north bryan. ,when is the next train in nordfriedhof?
52,when the next train in garching forschungszentrum is leaving. ,"when the next train in garching,forschungszentrum is leaving?"
53,when is the next u six leaving from garching. ,when is the next u6 leaving from garching?
54,can you give me a connection from garching to odeonsplatz. ,can you give me a connection from garching to odeonsplatz?
55,when is the next train from testrail 21 turn the front door. ,"when is the next train from untere straßaecker 21, garching to kieferngarten"
56,when does the next train departs from quiddestraße. ,when does the next train departs from quiddestraße?
57,how can i get from garching to garching. ,how can i get from garchingto garching?
58,how can i get from queen st of next week. ,how can i get from quiddestraße to boltzmannstraße?
59,how can i get from garching to hauptbahnhof. ,how can i get from garching to hauptbahnhof?
60,when does the next tram starts from hauptbahnhof. ,when does the next tram starts from hauptbahnhof?
61,can you find the shortest way from louisville to email british food. ,can you find the shortest way from moosfeld to milbertshofen?
62,connection from telstra twenty one the production. ,connection from untere straßäcker 21 to kieferngarten
63,what is the cheapest connection between quiddestraße and hauptbahnhof. ,what is the cheapest connection between quiddestraße and hauptbahnhof?
64,how can i get the new products in front door chain for a present for. ,how can i get to neuperlach süd from garching forschungszentrum?
65,how can i get from olympia to her and all. ,how can i get from olympiazentrum to hauptbahnhof?
66,how can i get from garching forschungszentrum to odeonsplatz. ,how can i get from garching forschungszentrum to odeonsplatz?
67,how can i get from garching forschungszentrum. ,how can i get from moosach to garching forschungszentrum?
68,when is the train leaving in garching. ,when is the train leaving in garching
69,is there a bus from odeonsplatz to hauptbahnhof at three pm. ,is there a bus from odeonsplatz to hauptbahnhof at 3 pm?
70,when is the next train from north ryan home to garching forschungszentrum. ,when is the next train from nordfriedhof to garching forschungszentrum
71,when is tom's next train. ,when comes the next train
72,when does the next train leaves from hauptbahnhof. ,when does the next s-bahn leaves from hauptbahnhof?
73,from the to problem. ,from garching to perlach
74,how can i get from garching to odeonsplatz. ,how can i get from garching to odeonsplatz?
75,when does the next train starts at st louis territory. ,when does the next train starts at sendlinger tor?
76,when is the next train from materials do you currently doing for the front door. ,when is the next train from untere straßaecker 21 to kieferngarten
77,when does the next rocket leaves from garching forschungszentrum. ,when does the next rocket leaves from garching forschungszentrum?
78,hey bot when does the next bus starts at garching. ,"hey bot, when does the next bus starts at garching?"
79,from the mta store within ten state. ,from garching to studentenstadt
80,when does the next train leaves from odeonsplatz. ,when does the next train leaves from odeonsplatz?
81,when is the next train from garching. ,when is the next train from garching
82,how do i get from marienplatz zu garching. ,how do i get from marienplatz zu garching
83,when does the first probably won't start. ,when does the bus to röblingweg starts?
84,when the next train in garching is leaving. ,when the next train in garching is leaving?
85,when does the next train come at garching forschungszentrum. ,when does the next train come at garching forschungszentrum
86,when can i get those at my reunion. ,when can i get a bus at mariahilfplatz?
87,how can i get from current interest to reserve a seat. ,how can i get from kurt-eisner-straße to garching?
88,when is the next train to the city. ,when is the next train to garching
89,can you tell me the cheapest way from garching forschungszentrum to quiddestraße. ,can you tell me the cheapest way from garching forschungszentrum to quiddestraße?
90,what's the shortest way between hauptbahnhof and odeonsplatz. ,what's the shortest way between hauptbahnhof and odeonsplatz?
91,when will the next boat depart from garching forschungszentrum. ,when will the next u-bahn depart from garching forschungszentrum?
92,when is the next train. ,when is the next train
93,when is the next bus in the fourth president. ,when is the next bus in garching forschungszentrum
95,how can i get from garching to marienplatz. ,how can i get from garching to marienplatz
97,how can i send later. ,how can i get to sendlinger tor?
98,when is the next train leaving in garching. ,when is the next train leaving in garching
99,how to get promo telstra CEO 21 surprise me. ,how to get from untere strassaecker 21 to frötmaning
0,call tonight that's wrong with our thing for it. ,how can i get from garching forschungszentrum to kurt-eisner-straße?
1,I want to grab over on the dollar exchange to odeonsplatz. ,i want to travel from garching to odeonsplatz?
2,show me the next bus run. ,show me the next bus from garching!
3,can you find a bus run Quiz 3. ,can you find a bus from quiddestraße to lehel?
4,when is the next USA. ,when is the next u6?
5,call tonight. ,how can i get from garching to garching?
6,what's the shortest connection between Quiz 3 in Bellevue. ,what's the shortest connection between quiddestraße and odeonsplatz?
7,is there a bus run around 5. ,is there a bus from garching to moosach at around 5?
8,connection from Colorado last night. ,i need a connection from harras to karl-preis-platz at 8 am.
10,when does the next train leave from Darth Bane for. ,when does the next train leave from garching forschungszentrum
11,how to make a strong erection. ,how can i get from garching to milbertshofen?
12,can I take a bus run quiz. ,can i take a bus from quiddestraße to hauptbahnhof?
13,could you tell me the fastest connection between Reuther middle three-and-out ID. ,could you give me the fastest connection between brudermühlstraße and alte heide?
14,when's the next bus leaving from. ,when does the next bus leaves from hauptbahnhof?
15,how to get Rum Runner flasks karate man. ,how to get from bonnerplatz to freimann
16,call tonight that's wrong lyric relax and romantic Karl's blast as fast as possible. ,how can i get from neuperlach zentrum to karlsplatz as fast as possible?
17,can you find a connection from Olean cuz I'm running to level at 2 p.m.. ,can you find a connection from olympiazentrum to lehel at 2 pm?
18,call tonight. ,how can i get to quiddestraße?
19,how to get a strong dollar thankful for that. ,how to get from garching to perlach?
20,show me the next bus run Mitchell. ,show me the next bus from michaelibad.
21,call tonight that's wrong with our thing for lunch. ,how can i get from garching to münchner freiheit as fast as possible?
22,when's the next Subway restaurant. ,when does the next subway departes from odeonsplatz?
23,when is the bus run clerestory. ,when is the bus from quiddestraße?
24,when is the next train from Arthur. ,when is the next train from garching
25,Carlton Itasca Milford. ,how can i get to milbertshofen from garching?
26,when does the next train leave. ,when does the next train leaves?
27,how to get run on 21. ,how to get from untere strassäcker 21 to frötmaning
28,call tonight at Bozeman cerebrum Quizlet. ,how can i get to boltzmannstraße from quiddestraße?
29,when is the train leaving. ,when is the train leaving in garching?
31,call tonight at 4. ,"how can i get from garching, forschungszentrum to odeonsplatz?"
32,when's the next bus leave for work. ,when does the next bus leaves at garching forschungszentrum?
33,how do I get a strong Olympia einkaufszentrum alcohol out. ,how do i get from olympia einkaufszentrum to hauptbahnhof?
34,is there a train from Nucor like that around 3 p.m.. ,is there a train from neuperlach zentrum to garching at 3 pm?
35,call tonight at 4. ,how can i get from mossach to garching forschungszentrum?
36,when is the next subway leaving from. ,when is the next subway leaving from garching?
37,what is the next connection from Dorothy for it. ,what is the next connection from garching forschungszentrum to odeonsplatz?
38,when's the next bus leave at Roland Flats. ,when does the next bus leaves at romanplatz?
39,when's the next bus leaving. ,when does the next bus leave in garching?
40,when does the next bus leave. ,when does the next bus leaves at garching?
41,how can I cast from DirecTV. ,how can i get from garching to sendlinger tor?
42,when is the next rain in North Raleigh at all. ,when is the next train in nordfriedhof
43,is there a gram from Carl's last two level. ,is there a tram from karlsplatz to lehel?
44,when is the next bus leaving from Galveston. ,when is the next bus leaving from garching?
45,when's the next rain in car thing for current laundromat leaving. ,when the next train in garching forschungszentrum is leaving?
46,when is Labor Day next subway leaving at Dorothy for it cuz then. ,when is adrians next subway leaving at garching forschungszentrum?
47,what's the cheapest way from Nucor life cycle. ,what's the cheapest way from neuperlach süd to lehel?
48,connection from Halo Phantom to odeonsplatz. ,connection from hauptbahnhof to odeonsplatz?
49,how do I get to I-10. ,how do i get to untere straussäcker?
50,when is the next rain in Montana right now. ,when is the next train in münchner freiheit?
51,when is the next rain in Lawrence right at home. ,when is the next train in nordfriedhof?
52,when the next rain in Culver City. ,"when the next train in garching,forschungszentrum is leaving?"
53,when is the next Deus Ex leaving from Direction. ,when is the next u6 leaving from garching?
54,can you tell me a connection from your chainsaw being flat. ,can you give me a connection from garching to odeonsplatz?
55,when is the next Grey's romaker what's the value or 21. ,"when is the next train from untere straßaecker 21, garching to kieferngarten"
56,when's the next train depart stromquist. ,when does the next train departs from quiddestraße?
57,call tonight that's wrong with our thanks. ,how can i get from garchingto garching?
58,how can I cast from Quiz 3. ,how can i get from quiddestraße to boltzmannstraße?
59,how to make a strong dollar exchange to haul out. ,how can i get from garching to hauptbahnhof?
60,when's the next Grand seoul Restaurant. ,when does the next tram starts from hauptbahnhof?
61,can you find Play Store this way bro moves I was coming over. ,can you find the shortest way from moosfeld to milbertshofen?
62,connection from us airstrike 2144. ,connection from untere straßäcker 21 to kieferngarten
63,what is the cheapest connection between equestrian Hall fan.. ,what is the cheapest connection between quiddestraße and hauptbahnhof?
64,tonight at sanook relaxer. ,how can i get to neuperlach süd from garching forschungszentrum?
65,how can I cast my Motorola E4. ,how can i get from olympiazentrum to hauptbahnhof?
66,how can I cash ramadhar thing for it. ,how can i get from garching forschungszentrum to odeonsplatz?
67,how to make a strong move fast forward. ,how can i get from moosach to garching forschungszentrum?
68,when is the grain leaving him. ,when is the train leaving in garching
69,is there a bus from odeonsplatz to Hall and all-natural p.m.. ,is there a bus from odeonsplatz to hauptbahnhof at 3 pm?
70,when is the next train from North right at home to car thing for work. ,when is the next train from nordfriedhof to garching forschungszentrum
71,when's the next rain. ,when comes the next train
72,when's the next Aspen leaves room haul out and. ,when does the next s-bahn leaves from hauptbahnhof?
73,Food 4 Less. ,from garching to perlach
74,call tonight. ,how can i get from garching to odeonsplatz?
75,when's the next rain storm. ,when does the next train starts at sendlinger tor?
76,when is the next rain Drama character are you 21. ,when is the next train from untere straßaecker 21 to kieferngarten
77,when's the next rocket leaving from Dorothy. ,when does the next rocket leaves from garching forschungszentrum?
78,when's the next bus. ,"hey bot, when does the next bus starts at garching?"
80,when's the next train leaving from odeonsplatz. ,when does the next train leaves from odeonsplatz?
81,when is the next train from Arthur. ,when is the next train from garching
82,how do I get a strong married in class. ,how do i get from marienplatz zu garching
83,windham bus garage. ,when does the bus to röblingweg starts?
84,when the next rain in Garcinia believing. ,when the next train in garching is leaving?
85,when's the next train come at North Fork. ,when does the next train come at garching forschungszentrum
86,when can I get a couple outside married. ,when can i get a bus at mariahilfplatz?
87,call tonight that's wrong. I've never asked you all right.. ,how can i get from kurt-eisner-straße to garching?
88,when is the next rainfall. ,when is the next train to garching
89,can you tell me the cheapest way around the Earth. ,can you tell me the cheapest way from garching forschungszentrum to quiddestraße?
90,what's the shortest way between Hall fan Auburndale being flat. ,what's the shortest way between hauptbahnhof and odeonsplatz?
91,when will the next you'll find it Parts wrong direction for it. ,when will the next u-bahn depart from garching forschungszentrum?
92,when is the next grade. ,when is the next train
93,when is the next bus interchange for Cleveland. ,when is the next bus in garching forschungszentrum
94,next bus run. ,next bus from quiddestraße?
95,call tonight that's wrong with your exchange Marion glass. ,how can i get from garching to marienplatz
96,when's the next train leaving from. ,when does the next train leaves from quiddestraße?
97,how can I cast to sendlinger tor. ,how can i get to sendlinger tor?
98,when is the next train leaving and Dorothy. ,when is the next train leaving in garching
99,how to get romance Heroes thracia 21. ,how to get from untere strassaecker 21 to frötmaning
0,call nine yen from our c. for prisons runs through the eyes are as you are a star to see. ,how can i get from garching forschungszentrum to kurt-eisner-straße?
1,i want to rattle from your seats will use lapse. ,i want to travel from garching to odeonsplatz?
2,so listen to us from our city. ,show me the next bus from garching!
3,do you find to us from lives three hello. ,can you find a bus from quiddestraße to lehel?
4,when isn't a user. ,when is the next u6?
5,can i get from our c. in our city. ,how can i get from garching to garching?
6,what's the story is next to you when story and so is lapse. ,what's the shortest connection between quiddestraße and odeonsplatz?
7,is there a us from our cities will set to her rose fires. ,is there a bus from garching to moosach at around 5?
8,i'm a connection from carreras carl darius laps and a damn. ,i need a connection from harras to karl-preis-platz at 8 am.
9,i need to our c. n. line. ,i need to be in garching at 9
10,when does and i mainly from r c four present room. ,when does the next train leave from garching forschungszentrum
11,can i get from your seats will recession. ,how can i get from garching to milbertshofen?
12,can i pay us from lives three and all. ,can i take a bus from quiddestraße to hauptbahnhof?
13,you're as a result as this connection between through the real story and alpine e.. ,could you give me the fastest connection between brudermühlstraße and alte heide?
14,when does a man as leaves room for them. ,when does the next bus leaves from hauptbahnhof?
15,so it's wrong their laps to fry man. ,how to get from bonnerplatz to freimann
16,how can i get from you throughout central to carl's last as this has caused all. ,how can i get from neuperlach zentrum to karlsplatz as fast as possible?
17,do you find a nexus rule in his entrance lola who am. ,can you find a connection from olympiazentrum to lehel at 2 pm?
18,not to lose three. ,how can i get to quiddestraße?
19,call now from our c. ruler. ,how to get from garching to perlach?
20,so in the so strongly sheila. ,show me the next bus from michaelibad.
21,not yet from your genes wounds or fry our business has caused. ,how can i get from garching to münchner freiheit as fast as possible?
22,when a dozen or so we're heartthrob will use lie. ,when does the next subway departes from odeonsplatz?
23,when is a strong lead story. ,when is the bus from quiddestraße?
24,when isn't a range from our city. ,when is the next train from garching
25,can i will suffer from our city. ,how can i get to milbertshofen from garching?
26,when doesn't rain leaves. ,when does the next train leaves?
27,call now from his raza who went to one to fry anew. ,how to get from untere strassäcker 21 to frötmaning
28,can i get olson's three from lead story. ,how can i get to boltzmannstraße from quiddestraße?
29,when is a train leaving in our city. ,when is the train leaving in garching?
30,and may the call and all that one am news or to connection from our c. for prisons wrong. ,"in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?"
31,how can i get from our series for prison frontal use lapse. ,"how can i get from garching, forschungszentrum to odeonsplatz?"
32,when does in a bus leaves a r c four present room. ,when does the next bus leaves at garching forschungszentrum?
33,do i truly a few wrinkles in front of a call. ,how do i get from olympia einkaufszentrum to hauptbahnhof?
34,is there a rain from knew her lie isn't wrong to r c three am. ,is there a train from neuperlach zentrum to garching at 3 pm?
35,not a natural laws as our c. for prisons room. ,how can i get from mossach to garching forschungszentrum?
